"ts;""comp_amt"";""comp_rgainfinal"";""comp_round"";""num"";""id"";""gr"";""lang"""
"2024-10-13 08:50:03;50000;-926425;4;207;""zc"";""1"";1"
"2024-10-13 09:37:48;50000;629163;7;208;""Yu"";""1"";1"
"2024-10-13 10:38:17;50000;495878;8;209;""s9"";""2"";1"
"2024-10-13 13:26:20;50000;704391;6;210;""dG"";""1"";1"
"2024-10-13 14:12:40;200000;5296430;14;211;""uC"";""1"";1"
"2024-10-13 14:31:08;100000;4269043;15;212;""3N"";""2"";1"
"2024-10-13 14:36:38;50000;0;9;213;""19"";""1"";1"
"2024-10-13 14:54:27;100000;4480684;15;214;""Lf"";""2"";1"
"2024-10-13 15:23:40;100000;1316768;12;215;""6u"";""1"";1"
"2024-10-13 16:26:59;50000;416397;2;216;""4X"";""2"";1"
"2024-10-13 20:44:04;50000;0;9;217;""wZ"";""1"";1"
"2024-10-13 23:18:26;50000;750038;10;218;""4X"";""2"";1"
"2024-10-14 02:21:31;50000;-153469;11;219;""Rx"";""1"";1"
"2024-10-14 02:21:31;50000;-153469;11;220;""Rx"";""1"";1"
"2024-10-14 03:44:04;50000;-153469;13;221;""Tq"";""1"";1"
"2024-10-14 07:23:33;50000;0;11;222;""z0"";""2"";1"
"2024-10-14 07:50:15;50000;0;4;223;""81"";""1"";1"
"2024-10-14 11:26:10;50000;787414;9;224;""XK"";""1"";1"
"2024-10-14 12:05:00;100000;1135639;4;225;""iC"";""2"";1"
"2024-10-14 14:02:58;100000;4546128;14;226;""dt"";""1"";1"
"2024-10-14 16:16:24;100000;1116024;12;227;""7L"";""2"";1"
"2024-10-15 01:47:21;50000;-150654;2;228;""8x"";""2"";1"
"2024-10-15 05:32:59;50000;-190875;11;229;""PK"";""1"";1"
"2024-10-15 05:43:31;100000;3870320;14;230;""wD"";""2"";1"
"2024-10-15 09:56:12;100000;3599249;13;231;""MC"";""1"";1"
"2024-10-15 13:15:10;50000;881147;11;232;""Dn"";""2"";1"
"2024-10-15 14:03:23;50000;-195008;3;233;""ka"";""2"";1"
"2024-10-16 11:44:02;50000;630324;7;234;""4A"";""1"";1"
"2024-10-16 12:22:40;200000;5596232;15;235;""Qd"";""1"";1"
"2024-10-16 12:49:56;50000;659373;9;236;""PK"";""1"";1"
"2024-10-16 12:50:13;50000;659373;9;237;""PK"";""1"";1"
"2024-10-16 12:50:45;200000;5255661;14;238;""Wl"";""2"";1"
"2024-10-16 12:59:28;200000;6132826;15;239;""hU"";""2"";1"
"2024-10-16 13:12:56;100000;4049420;15;240;""K5"";""1"";1"
"2024-10-16 13:42:47;50000;0;3;241;""vv"";""2"";1"
"2024-10-16 13:42:53;50000;0;12;242;""Mk"";""1"";1"
"2024-10-16 13:42:53;50000;0;11;243;""HQ"";""2"";1"
"2024-10-16 14:18:14;200000;5407869;15;244;""cG"";""2"";1"
"2024-10-16 14:32:44;100000;1503503;12;245;""Pl"";""1"";1"
"2024-10-16 14:38:47;200000;6155376;15;246;""IZ"";""1"";1"
"2024-10-16 14:49:44;50000;0;10;247;""Sl"";""2"";1"
"2024-10-16 15:08:24;50000;0;2;248;""A0"";""1"";1"
"2024-10-16 15:18:48;50000;862648;11;249;""qs"";""2"";1"
"2024-10-16 15:27:08;200000;5896526;14;250;""eX"";""2"";1"
"2024-10-16 15:41:41;50000;0;7;251;""iX"";""1"";1"
"2024-10-16 16:02:15;50000;0;9;252;""WB"";""2"";1"
"2024-10-16 16:44:30;50000;761839;9;253;""2r"";""1"";1"
"2024-10-16 17:11:51;50000;0;4;254;""1c"";""1"";1"
"2024-10-16 17:19:04;200000;5912473;15;255;""uw"";""2"";1"
"2024-10-16 17:20:38;50000;576808;8;256;""Ww"";""2"";1"
"2024-10-16 22:26:16;50000;0;6;257;""F3"";""1"";1"
"2024-10-17 07:17:44;100000;4493471;13;258;""gf"";""2"";1"
"2024-10-17 16:10:25;100000;3481985;13;259;""P4"";""2"";1"
"2024-10-17 16:50:13;200000;5196407;14;260;""C6"";""1"";1"
"2024-10-17 17:32:02;100000;1648493;12;261;""uj"";""2"";1"
"2024-10-17 18:14:29;50000;320167;2;262;""d5"";""1"";1"
