"ts;""counter"";""num"";""id"";""gr"";""lang"";""au"""
"2024-10-11 06:39:21;1;1178;""E5"";""2"";0;1"
"2024-10-11 06:48:38;1;1179;""I4"";""1"";1;0"
"2024-10-11 08:09:47;1;1180;""9f"";""1"";0;1"
"2024-10-11 09:24:30;1;1181;""7c"";""2"";0;0"
"2024-10-11 09:24:30;1;1182;""fW"";""1"";0;0"
"2024-10-11 09:24:37;1;1183;""fx"";""2"";1;1"
"2024-10-11 09:24:43;1;1184;""Sj"";""1"";1;1"
"2024-10-11 09:24:48;1;1185;""v4"";""2"";1;0"
"2024-10-11 09:25:16;1;1186;""lJ"";""1"";1;0"
"2024-10-11 09:25:21;1;1187;""sE"";""2"";1;1"
"2024-10-11 10:02:39;1;1188;""pD"";""2"";0;0"
"2024-10-11 10:02:45;1;1189;""c0"";""1"";1;1"
"2024-10-11 10:23:06;1;1190;""N5"";""1"";0;0"
"2024-10-11 10:45:30;1;1191;""KO"";""2"";1;1"
"2024-10-11 12:52:02;1;1192;""OS"";""1"";1;1"
"2024-10-11 14:29:40;1;1193;""VN"";""2"";1;0"
"2024-10-11 14:35:40;1;1194;""W8"";""2"";0;1"
"2024-10-11 14:39:19;1;1195;""JX"";""1"";1;0"
"2024-10-11 14:40:14;1;1196;""WO"";""2"";1;0"
"2024-10-11 14:42:38;1;1197;""85"";""1"";1;1"
"2024-10-11 14:49:55;1;1198;""5n"";""2"";1;1"
"2024-10-11 14:57:03;1;1199;""T6"";""1"";1;0"
"2024-10-11 15:10:47;1;1200;""DO"";""2"";1;0"
"2024-10-11 15:36:16;1;1201;""Hy"";""1"";1;1"
"2024-10-11 15:49:37;1;1202;""CT"";""2"";1;1"
"2024-10-11 19:26:28;1;1203;""hf"";""1"";1;0"
"2024-10-11 23:05:42;1;1204;""Pb"";""1"";0;1"
"2024-10-12 01:28:13;1;1205;""mL"";""2"";1;0"
"2024-10-12 01:31:45;1;1206;""bA"";""1"";1;0"
"2024-10-12 01:31:49;1;1207;""rb"";""2"";1;1"
"2024-10-12 01:32:02;1;1208;""m0"";""1"";1;1"
"2024-10-12 01:32:11;1;1209;""gQ"";""2"";1;0"
"2024-10-12 01:42:41;1;1210;""mG"";""1"";1;0"
"2024-10-12 04:40:52;1;1211;""GC"";""2"";1;1"
"2024-10-12 04:41:50;1;1212;""l5"";""1"";1;1"
"2024-10-12 05:34:52;1;1213;""49"";""2"";1;0"
"2024-10-12 07:37:17;1;1214;""PO"";""1"";1;0"
"2024-10-12 08:58:15;1;1215;""J8"";""2"";1;1"
"2024-10-12 08:58:23;1;1216;""r0"";""1"";1;1"
"2024-10-12 08:58:41;1;1217;""fr"";""2"";1;0"
"2024-10-12 09:07:20;1;1218;""ZE"";""1"";1;0"
"2024-10-12 09:58:50;1;1219;""kK"";""2"";1;1"
"2024-10-12 10:42:16;1;1220;""qD"";""1"";1;1"
"2024-10-12 11:32:15;1;1221;""Uy"";""2"";1;0"
"2024-10-12 11:36:04;1;1222;""mD"";""1"";1;0"
"2024-10-12 11:54:41;1;1223;""bl"";""2"";1;1"
"2024-10-12 12:10:09;1;1224;""vL"";""1"";1;1"
"2024-10-12 12:30:59;1;1225;""nz"";""2"";1;0"
"2024-10-12 13:09:06;1;1226;""w1"";""1"";1;0"
"2024-10-12 13:37:36;1;1227;""nw"";""2"";1;1"
"2024-10-12 13:44:21;1;1228;""ke"";""1"";1;1"
"2024-10-12 13:59:33;1;1229;""Fe"";""2"";1;0"
"2024-10-12 14:14:19;1;1230;""G2"";""1"";1;0"
"2024-10-12 14:15:25;1;1231;""7J"";""2"";1;1"
"2024-10-12 14:46:04;1;1232;""48"";""1"";1;1"
"2024-10-12 20:39:57;1;1233;""u1"";""2"";1;0"
"2024-10-12 23:01:56;1;1234;""jj"";""1"";1;0"
"2024-10-12 23:02:40;1;1235;""rv"";""2"";1;1"
"2024-10-12 23:13:26;1;1236;""aR"";""1"";1;1"
"2024-10-12 23:39:46;1;1237;""q0"";""2"";1;0"
"2024-10-13 00:53:09;1;1238;""7S"";""1"";1;0"
"2024-10-13 01:23:10;1;1239;""gR"";""2"";1;1"
"2024-10-13 02:24:43;1;1240;""53"";""1"";1;1"
"2024-10-13 02:37:10;1;1241;""x8"";""2"";1;0"
"2024-10-13 03:07:43;1;1242;""fR"";""1"";1;0"
"2024-10-13 03:55:09;1;1243;""dX"";""2"";1;1"
"2024-10-13 04:10:48;1;1244;""5y"";""2"";0;0"
"2024-10-13 04:17:28;1;1245;""ua"";""1"";1;1"
"2024-10-13 04:56:11;1;1246;""OJ"";""2"";1;1"
"2024-10-13 04:59:50;1;1247;""N3"";""1"";1;0"
"2024-10-13 05:07:05;1;1248;""Yt"";""2"";1;0"
"2024-10-13 05:31:29;1;1249;""iv"";""1"";1;1"
"2024-10-13 06:19:57;1;1250;""QZ"";""2"";1;1"
"2024-10-13 07:24:35;1;1251;""8y"";""1"";1;0"
"2024-10-13 07:24:45;1;1252;""JI"";""2"";1;0"
"2024-10-13 07:34:18;1;1253;""zc"";""1"";1;1"
"2024-10-13 08:31:42;1;1254;""Zy"";""2"";1;1"
"2024-10-13 08:38:54;1;1255;""Yu"";""1"";1;0"
"2024-10-13 09:53:46;1;1256;""s9"";""2"";1;0"
"2024-10-13 10:19:53;1;1257;""lT"";""1"";1;1"
"2024-10-13 11:49:21;1;1258;""QM"";""2"";1;1"
"2024-10-13 12:47:54;1;1259;""dG"";""1"";1;0"
"2024-10-13 13:30:33;1;1260;""4X"";""2"";1;0"
"2024-10-13 13:53:48;1;1261;""uC"";""1"";1;1"
"2024-10-13 14:03:25;1;1262;""3N"";""2"";1;1"
"2024-10-13 14:04:55;1;1263;""gD"";""1"";1;0"
"2024-10-13 14:05:10;1;1264;""Iz"";""2"";1;0"
"2024-10-13 14:23:20;1;1265;""19"";""1"";1;1"
"2024-10-13 14:37:09;1;1266;""Lf"";""2"";1;1"
"2024-10-13 15:07:36;1;1267;""6u"";""1"";1;0"
"2024-10-13 15:16:00;1;1268;""We"";""2"";1;0"
"2024-10-13 17:46:32;1;1269;""wZ"";""1"";1;1"
"2024-10-13 19:36:33;1;1270;""zg"";""1"";0;0"
"2024-10-13 22:41:53;1;1271;""Lz"";""2"";1;1"
"2024-10-14 01:17:51;1;1272;""82"";""2"";0;0"
"2024-10-14 01:17:58;1;1273;""Rx"";""1"";1;1"
"2024-10-14 02:41:02;1;1274;""L5"";""2"";1;1"
"2024-10-14 02:44:29;1;1275;""Tq"";""1"";1;0"
"2024-10-14 02:59:03;1;1276;""67"";""2"";1;0"
"2024-10-14 04:20:59;1;1277;""Ix"";""1"";1;1"
"2024-10-14 07:10:23;1;1278;""z0"";""2"";1;1"
"2024-10-14 07:37:24;1;1279;""81"";""1"";1;0"
"2024-10-14 07:57:19;1;1280;""b2"";""2"";1;0"
"2024-10-14 10:56:44;1;1281;""XK"";""1"";1;1"
"2024-10-14 11:31:24;1;1282;""iC"";""2"";1;1"
"2024-10-14 13:48:10;1;1283;""dt"";""1"";1;0"
"2024-10-14 16:04:21;1;1284;""7L"";""2"";1;0"
"2024-10-14 22:01:14;1;1285;""06"";""1"";1;1"
"2024-10-15 00:00:01;1;1286;""8x"";""2"";1;1"
"2024-10-15 04:30:59;1;1287;""PK"";""1"";1;0"
"2024-10-15 05:32:50;1;1288;""wD"";""2"";1;0"
"2024-10-15 09:36:49;1;1289;""MC"";""1"";1;1"
"2024-10-15 13:01:02;1;1290;""Dn"";""2"";1;1"
"2024-10-15 13:03:29;1;1291;""Me"";""1"";1;0"
"2024-10-15 13:03:30;1;1292;""ka"";""2"";1;0"
"2024-10-16 05:26:24;1;1293;""cB"";""1"";1;1"
"2024-10-16 11:07:31;1;1294;""ZV"";""2"";1;1"
"2024-10-16 11:08:00;1;1295;""4A"";""1"";1;0"
"2024-10-16 11:38:32;1;1296;""9o"";""2"";1;0"
"2024-10-16 11:47:10;1;1297;""Qd"";""1"";1;1"
"2024-10-16 11:48:32;1;1298;""dx"";""2"";1;1"
"2024-10-16 12:26:31;1;1299;""5g"";""1"";1;0"
"2024-10-16 12:30:37;1;1300;""Wl"";""2"";1;0"
"2024-10-16 12:30:41;1;1301;""PK"";""1"";1;1"
"2024-10-16 12:30:52;1;1302;""hU"";""2"";1;1"
"2024-10-16 12:44:01;1;1303;""K5"";""1"";1;0"
"2024-10-16 13:03:02;1;1304;""vv"";""2"";1;0"
"2024-10-16 13:04:04;1;1305;""Mk"";""1"";1;1"
"2024-10-16 13:04:12;1;1306;""HQ"";""2"";1;1"
"2024-10-16 13:59:55;1;1307;""Nz"";""1"";1;0"
"2024-10-16 14:07:35;1;1308;""cG"";""2"";1;0"
"2024-10-16 14:12:38;1;1309;""Pl"";""1"";1;1"
"2024-10-16 14:20:48;1;1310;""Sl"";""2"";1;1"
"2024-10-16 14:23:12;1;1311;""IZ"";""1"";1;0"
"2024-10-16 14:41:42;1;1312;""eX"";""2"";1;0"
"2024-10-16 14:52:47;1;1313;""iX"";""1"";1;1"
"2024-10-16 14:52:53;1;1314;""qs"";""2"";1;1"
"2024-10-16 14:53:00;1;1315;""A0"";""1"";1;0"
"2024-10-16 15:44:13;1;1316;""WB"";""2"";1;0"
"2024-10-16 16:01:18;1;1317;""2r"";""1"";1;1"
"2024-10-16 16:54:39;1;1318;""Ww"";""2"";1;1"
"2024-10-16 16:54:48;1;1319;""1c"";""1"";1;0"
"2024-10-16 16:54:56;1;1320;""uw"";""2"";1;0"
"2024-10-16 22:15:49;1;1321;""F3"";""1"";1;1"
"2024-10-16 22:16:55;1;1322;""fJ"";""1"";0;0"
"2024-10-17 06:16:10;1;1323;""gf"";""2"";1;1"
"2024-10-17 12:50:35;1;1324;""kk"";""1"";1;1"
"2024-10-17 15:29:53;1;1325;""P4"";""2"";1;0"
"2024-10-17 16:17:07;1;1326;""C6"";""1"";1;0"
"2024-10-17 16:54:37;1;1327;""uj"";""2"";1;1"
"2024-10-17 17:38:54;1;1328;""d5"";""1"";1;1"
"2024-10-17 18:19:58;1;1329;""JZ"";""2"";1;0"
"2024-10-17 22:33:29;1;1330;""9j"";""1"";1;0"
"2024-10-17 23:35:06;1;1331;""v1"";""2"";1;1"
"2024-10-18 00:09:36;1;1332;""NV"";""1"";1;1"
"2024-10-18 00:46:56;1;1333;""Ay"";""2"";1;0"
"2024-10-18 00:59:59;1;1334;""Yz"";""1"";1;0"
"2024-10-18 01:04:30;1;1335;""CD"";""2"";0;1"
"2024-10-18 01:07:51;1;1336;""x7"";""2"";1;0"
"2024-10-18 01:08:00;1;1337;""G0"";""1"";1;1"
"2024-10-18 01:13:48;1;1338;""Yd"";""2"";1;1"
"2024-10-18 01:46:51;1;1339;""4D"";""1"";1;0"
"2024-10-18 01:58:03;1;1340;""Qh"";""2"";1;0"
"2024-10-18 02:27:18;1;1341;""Zz"";""1"";1;1"
"2024-10-18 02:40:04;1;1342;""X2"";""2"";1;1"
"2024-10-18 02:58:47;1;1343;""zU"";""1"";1;0"
"2024-10-18 03:30:05;1;1344;""an"";""2"";1;0"
"2024-10-18 07:15:07;1;1345;""HT"";""1"";1;1"
"2024-10-18 11:26:20;1;1346;""v7"";""2"";1;1"
"2024-10-18 14:22:57;1;1347;""fh"";""1"";1;0"
"2024-10-18 14:43:57;1;1348;""Ua"";""2"";1;0"
