"gr;""id"";""lang"";""ts"";""round"";""trx"";""sec"";""pos"";""activity"";""price"";""crypto"";""fiat"";""crypto_prev"";""fiat_prev"";""sell"";""buy"";""buy_prev"";""t_gain"";""t_tax"";""t_gain_net"";""r_gain"";""r_gain_prev"";""r_tax"";""r_tax_prev"";""r_gain_net"";""tax_disclos"";""tax_discre"";""audit"";""penalty"";""r_gain_final"";""num"""
"1;""SH"";1;""2024-10-10 14:29:45"";6;2;4;""s"";""buying"";712467;1.24;0;0.0;880488;0;712467;712467;0;0;0;880488;880488;176097;176097;704391;176097;0;0;0;704391;1261"
"1;""dO"";1;""2024-10-10 15:17:14"";15;1;28;""b"";""selling"";6124309;0.0;6124309;1.0;0;6124309;0;0;6124309;1224861;4899448;6124309;0;1224861;0;4899448;0;1224861;0;0;6124309;1262"
"2;""4q"";1;""2024-10-10 14:51:16"";9;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1263"
"2;""ll"";1;""2024-10-10 14:30:21"";6;2;1;""s"";""buying"";693248;1.34;0;0.0;926756;0;693248;693248;0;0;0;926756;926756;185351;185351;741405;185351;0;0;0;741405;1264"
"1;""dO"";1;""2024-10-10 15:17:25"";15;2;16;""s"";""buying"";5170416;1.18;0;0.0;6124309;0;5170416;5170416;0;0;0;6124309;6124309;1224861;1224861;4899448;0;1224861;0;0;6124309;1265"
"2;""gK"";1;""2024-10-10 14:13:58"";2;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1266"
"2;""4q"";1;""2024-10-10 14:51:23"";9;1;35;""b"";""selling"";875643;0.0;875643;1.0;0;875643;0;0;875643;175128;700515;875643;0;175128;0;700515;175128;0;0;0;700515;1267"
"1;""dO"";1;""2024-10-10 14:31:07"";6;2;1;""s"";""buying"";726968;1.27;0;0.0;926756;0;726968;726968;0;0;0;926756;926756;185351;185351;741405;185351;0;0;0;741405;1268"
"2;""gK"";1;""2024-10-10 14:14:03"";2;1;36;""b"";""selling"";404873;0.0;404873;1.0;0;404873;0;0;404873;80974;323899;404873;0;80974;0;323899;80974;0;1;0;323899;1269"
"1;""dO"";1;""2024-10-10 15:17:41"";15;3;0;""b"";""selling"";5979323;0.0;7055601;1.18;0;5979323;5170416;5170416;808907;161781;647126;6933216;6124309;1386643;1224861;5546573;1386463;180;1;360;5546213;1270"
"2;""La"";1;""2024-10-10 14:52:00"";11;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1271"
"2;""4q"";1;""2024-10-10 14:31:10"";2;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1272"
"2;""gK"";1;""2024-10-10 15:18:15"";15;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1273"
"2;""La"";1;""2024-10-10 14:52:06"";11;1;35;""b"";""selling"";1036956;0.0;1036956;1.0;0;1036956;0;0;1036956;207391;829565;1036956;0;207391;0;829565;0;207391;0;0;1036956;1274"
"2;""gK"";1;""2024-10-10 15:18:28"";15;1;28;""b"";""selling"";6124309;0.0;6124309;1.0;0;6124309;0;0;6124309;1224861;4899448;6124309;0;1224861;0;4899448;0;1224861;0;0;6124309;1275"
"2;""4q"";1;""2024-10-10 14:31:22"";2;1;30;""b"";""selling"";402397;0.0;402397;1.0;0;402397;0;0;402397;80479;321918;402397;0;80479;0;321918;80479;0;0;0;321918;1276"
"2;""La"";1;""2024-10-10 14:52:25"";11;2;16;""s"";""buying"";1075072;0.96;0;0.0;1036956;0;1075072;1075072;0;0;0;1036956;1036956;207391;207391;829565;0;207391;0;0;1036956;1277"
"2;""gK"";1;""2024-10-10 15:18:40"";15;2;16;""s"";""buying"";5170416;1.18;0;0.0;6124309;0;5170416;5170416;0;0;0;6124309;6124309;1224861;1224861;4899448;0;1224861;0;0;6124309;1278"
"2;""La"";1;""2024-10-10 14:31:52"";7;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1279"
"2;""La"";1;""2024-10-10 14:52:39"";11;3;3;""b"";""selling"";1106446;0.0;1062188;0.96;0;1106446;1075072;1075072;31374;6274;25100;1068330;1036956;213666;207391;854664;213666;0;0;0;854664;1280"
"2;""gK"";1;""2024-10-10 15:18:57"";15;3;0;""b"";""selling"";6020496;0.0;7104185;1.18;0;6020496;5170416;5170416;850080;170016;680064;6974389;6124309;1394877;1224861;5579512;1224861;170016;0;0;5749528;1281"
"2;""La"";1;""2024-10-10 14:31:53"";7;1;39;""b"";""selling"";816369;0.0;816369;1.0;0;816369;0;0;816369;163273;653096;816369;0;163273;0;653096;0;163273;0;0;816369;1282"
"1;""SH"";1;""2024-10-10 14:52:48"";11;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1283"
"1;""A9"";1;""2024-10-10 15:27:32"";0;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1284"
"2;""La"";1;""2024-10-10 14:32:12"";7;2;21;""s"";""buying"";836785;0.98;0;0.0;816369;0;836785;836785;0;0;0;816369;816369;163273;163273;653096;0;163273;0;0;816369;1285"
"1;""SH"";1;""2024-10-10 14:52:50"";11;1;39;""b"";""selling"";1024530;0.0;1024530;1.0;0;1024530;0;0;1024530;204906;819624;1024530;0;204906;0;819624;0;204906;0;0;1024530;1286"
"2;""La"";1;""2024-10-10 14:32:29"";7;3;4;""b"";""selling"";1020824;0.0;1000408;0.98;0;1020824;836785;836785;184039;36807;147232;1000408;816369;200081;163273;800327;200081;0;0;0;800327;1287"
"1;""A9"";1;""2024-10-10 15:30:15"";0;1;33;""b"";""selling"";1037082;0.0;1037082;1.0;0;1037082;0;0;1037082;207416;829666;1037082;0;207416;0;829666;0;207416;0;0;1037082;1288"
"1;""A9"";1;""2024-10-10 15:30:21"";0;2;30;""s"";""buying"";951020;1.09;0;0.0;1037082;0;951020;951020;0;0;0;1037082;1037082;207416;207416;829666;0;207416;0;0;1037082;1289"
"1;""SH"";1;""2024-10-10 14:32:47"";7;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1290"
"1;""A9"";1;""2024-10-10 15:30:22"";0;2;29;""s"";""buying"";951020;1.09;0;0.0;1037082;0;951020;951020;0;0;0;1037082;1037082;207416;207416;829666;0;207416;0;0;1037082;1291"
"2;""ll"";1;""2024-10-10 14:33:00"";7;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1292"
"1;""A9"";1;""2024-10-10 15:30:23"";0;2;29;""s"";""buying"";951020;1.09;0;0.0;1037082;0;951020;951020;0;0;0;1037082;1037082;207416;207416;829666;0;207416;0;0;1037082;1293"
"1;""dO"";1;""2024-10-10 14:33:03"";7;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1294"
"1;""SH"";1;""2024-10-10 14:52:51"";11;2;37;""s"";""buying"";1016957;1.01;0;0.0;1024530;0;1016957;1016957;0;0;0;1024530;1024530;204906;204906;819624;0;204906;0;0;1024530;1295"
"1;""A9"";1;""2024-10-10 15:30:24"";0;2;29;""s"";""buying"";959817;1.08;0;0.0;1037082;0;959817;959817;0;0;0;1037082;1037082;207416;207416;829666;0;207416;0;0;1037082;1296"
"2;""gK"";1;""2024-10-10 14:33:06"";7;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1297"
"1;""SH"";1;""2024-10-10 14:53:26"";11;3;3;""b"";""selling"";1106446;0.0;1117510;1.01;0;1106446;1016957;1016957;89489;17897;71592;1114019;1024530;222803;204906;891216;222803;0;1;0;891216;1298"
"1;""A9"";1;""2024-10-10 15:30:24"";0;3;28;""b"";""selling"";963066;0.0;1049742;1.09;0;963066;951020;951020;12046;2409;9637;1049128;1037082;209825;207416;839303;0;209825;0;0;1049128;1299"
"2;""gK"";1;""2024-10-10 14:33:09"";7;1;38;""b"";""selling"";807986;0.0;807986;1.0;0;807986;0;0;807986;161597;646389;807986;0;161597;0;646389;0;161597;0;0;807986;1300"
"2;""ll"";1;""2024-10-10 14:53:45"";11;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1301"
"1;""A9"";1;""2024-10-10 15:30:31"";0;4;25;""s"";""buying"";1062354;0.99;0;0.0;1049742;0;1062354;1062354;0;0;0;1049128;1049128;209825;209825;839303;0;209825;0;0;1049128;1302"
"2;""gK"";1;""2024-10-10 14:33:11"";7;2;36;""s"";""buying"";787907;1.03;0;0.0;807986;0;787907;787907;0;0;0;807986;807986;161597;161597;646389;0;161597;0;0;807986;1303"
"2;""ll"";1;""2024-10-10 14:53:46"";11;1;40;""b"";""selling"";1141403;0.0;1141403;1.0;0;1141403;0;0;1141403;228280;913123;1141403;0;228280;0;913123;0;228280;0;0;1141403;1304"
"1;""A9"";1;""2024-10-10 15:30:32"";0;4;25;""s"";""buying"";1062354;0.99;0;0.0;1049742;0;1062354;1062354;0;0;0;1049128;1049128;209825;209825;839303;0;209825;0;0;1049128;1305"
"2;""4q"";1;""2024-10-10 14:33:16"";3;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1306"
"2;""ll"";1;""2024-10-10 14:53:49"";11;2;37;""s"";""buying"";1016957;1.12;0;0.0;1141403;0;1016957;1016957;0;0;0;1141403;1141403;228280;228280;913123;0;228280;0;0;1141403;1307"
"1;""A9"";1;""2024-10-10 15:30:32"";0;4;25;""s"";""buying"";1062354;0.99;0;0.0;1049742;0;1062354;1062354;0;0;0;1049128;1049128;209825;209825;839303;0;209825;0;0;1049128;1308"
"2;""4q"";1;""2024-10-10 14:33:18"";3;1;39;""b"";""selling"";697237;0.0;697237;1.0;0;697237;0;0;697237;139447;557790;697237;0;139447;0;557790;139447;0;0;0;557790;1309"
"2;""ll"";1;""2024-10-10 14:54:03"";11;3;22;""b"";""selling"";1093827;0.0;1225086;1.12;0;1093827;1016957;1016957;76870;15374;61496;1218273;1141403;243654;228280;974619;0;243654;0;0;1218273;1310"
"1;""SH"";1;""2024-10-10 14:14:16"";3;3;22;""b"";""selling"";871996;0.0;741197;0.85;0;871996;820517;820517;51479;10295;41184;748716;697237;149743;139447;598973;0;149743;0;0;748716;1311"
"1;""A9"";1;""2024-10-10 15:30:33"";0;4;25;""s"";""buying"";1062354;0.99;0;0.0;1049742;0;1062354;1062354;0;0;0;1049128;1049128;209825;209825;839303;0;209825;0;0;1049128;1312"
"1;""SH"";1;""2024-10-10 14:33:19"";7;1;19;""b"";""selling"";890982;0.0;890982;1.0;0;890982;0;0;890982;178196;712786;890982;0;178196;0;712786;0;178196;0;0;890982;1313"
"2;""ll"";1;""2024-10-10 14:54:05"";11;4;21;""s"";""buying"";1046226;1.17;0;0.0;1225086;0;1046226;1046226;0;0;0;1218273;1218273;243654;243654;974619;0;243654;0;0;1218273;1314"
"1;""SH"";1;""2024-10-10 14:14:34"";3;4;11;""s"";""buying"";782202;0.95;0;0.0;741197;0;782202;782202;0;0;0;748716;748716;149743;149743;598973;0;149743;0;0;748716;1315"
"1;""SH"";1;""2024-10-10 14:33:21"";7;2;17;""s"";""buying"";931663;0.96;0;0.0;890982;0;931663;931663;0;0;0;890982;890982;178196;178196;712786;0;178196;0;0;890982;1316"
"1;""A9"";1;""2024-10-10 15:30:34"";0;4;25;""s"";""buying"";1062354;0.99;0;0.0;1049742;0;1062354;1062354;0;0;0;1049128;1049128;209825;209825;839303;0;209825;0;0;1049128;1317"
"2;""ll"";1;""2024-10-10 14:54:23"";11;5;3;""b"";""selling"";1106446;0.0;1294542;1.17;0;1106446;1046226;1046226;60220;12044;48176;1278493;1218273;255698;243654;1022795;255698;0;0;0;1022795;1318"
"1;""SH"";1;""2024-10-10 14:14:44"";3;5;1;""b"";""selling"";899449;0.0;854477;0.95;0;899449;782202;782202;117247;23449;93798;865963;748716;173192;149743;692771;173192;0;1;0;692771;1319"
"2;""P3"";1;""2024-10-10 15:37:28"";0;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320"
"1;""SH"";1;""2024-10-10 14:33:35"";7;3;3;""b"";""selling"";1032605;0.0;991301;0.96;0;1032605;931663;931663;100942;20188;80754;991924;890982;198384;178196;793540;198383;1;0;0;793541;1321"
"1;""dO"";1;""2024-10-10 14:54:29"";11;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1322"
"2;""La"";1;""2024-10-10 14:15:55"";4;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1323"
"2;""P3"";1;""2024-10-10 15:41:57"";0;1;24;""b"";""selling"";1057553;0.0;1057553;1.0;0;1057553;0;0;1057553;211510;846043;1057553;0;211510;0;846043;0;211510;0;0;1057553;1324"
"2;""ll"";1;""2024-10-10 14:34:15"";7;1;7;""b"";""selling"";1011667;0.0;1011667;1.0;0;1011667;0;0;1011667;202333;809334;1011667;0;202333;0;809334;202333;0;1;0;809334;1325"
"1;""dO"";1;""2024-10-10 14:54:31"";11;1;40;""b"";""selling"";1141403;0.0;1141403;1.0;0;1141403;0;0;1141403;228280;913123;1141403;0;228280;0;913123;0;228280;0;0;1141403;1326"
"2;""La"";1;""2024-10-10 14:15:59"";4;1;37;""b"";""selling"";1139238;0.0;1139238;1.0;0;1139238;0;0;1139238;227847;911391;1139238;0;227847;0;911391;0;227847;0;0;1139238;1327"
"2;""P3"";1;""2024-10-10 15:42:04"";0;1;23;""b"";""selling"";1035330;0.0;1035330;1.0;0;1035330;0;0;1035330;207066;828264;1035330;0;207066;0;828264;0;207066;0;0;1035330;1328"
"1;""dO"";1;""2024-10-10 14:34:45"";7;1;3;""b"";""selling"";1032605;0.0;1032605;1.0;0;1032605;0;0;1032605;206521;826084;1032605;0;206521;0;826084;206521;0;0;0;826084;1329"
"1;""dO"";1;""2024-10-10 14:54:34"";11;2;37;""s"";""buying"";1016957;1.12;0;0.0;1141403;0;1016957;1016957;0;0;0;1141403;1141403;228280;228280;913123;0;228280;0;0;1141403;1330"
"2;""P3"";1;""2024-10-10 15:42:05"";0;1;22;""b"";""selling"";1035330;0.0;1035330;1.0;0;1035330;0;0;1035330;207066;828264;1035330;0;207066;0;828264;0;207066;0;0;1035330;1331"
"2;""gK"";1;""2024-10-10 14:35:04"";7;3;3;""b"";""selling"";1032605;0.0;1063583;1.03;0;1032605;787907;787907;244698;48939;195759;1052684;807986;210536;161597;842148;210536;0;0;0;842148;1332"
"1;""SH"";1;""2024-10-10 14:16:16"";4;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1333"
"1;""dO"";1;""2024-10-10 14:55:09"";11;3;2;""b"";""selling"";1129636;0.0;1265192;1.12;0;1129636;1016957;1016957;112679;22535;90144;1254082;1141403;250816;228280;1003266;250816;0;0;0;1003266;1334"
"2;""P3"";1;""2024-10-10 15:43:02"";0;2;10;""s"";""buying"";1019825;1.02;0;0.0;1035330;0;1019825;1019825;0;0;0;1035330;1035330;207066;207066;828264;207066;0;0;0;828264;1335"
"1;""SH"";1;""2024-10-10 14:16:18"";4;1;39;""b"";""selling"";1135866;0.0;1135866;1.0;0;1135866;0;0;1135866;227173;908693;1135866;0;227173;0;908693;0;227173;0;0;1135866;1336"
"2;""gK"";1;""2024-10-10 14:55:16"";11;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1337"
"2;""P3"";1;""2024-10-10 15:47:52"";1;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1338"
"2;""La"";1;""2024-10-10 14:16:27"";4;2;19;""s"";""buying"";1008563;1.13;0;0.0;1139238;0;1008563;1008563;0;0;0;1139238;1139238;227847;227847;911391;0;227847;0;0;1139238;1339"
"2;""4q"";1;""2024-10-10 14:55:17"";10;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1340"
"2;""P3"";1;""2024-10-10 15:47:58"";1;1;37;""b"";""selling"";370605;0.0;370605;1.0;0;370605;0;0;370605;74121;296484;370605;0;74121;0;296484;74121;0;0;0;296484;1341"
"1;""SH"";1;""2024-10-10 14:16:34"";4;2;26;""s"";""buying"";981193;1.16;0;0.0;1135866;0;981193;981193;0;0;0;1135866;1135866;227173;227173;908693;0;227173;0;0;1135866;1342"
"2;""P3"";1;""2024-10-10 15:52:46"";2;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1343"
"2;""La"";1;""2024-10-10 14:16:39"";4;3;13;""b"";""selling"";1147817;0.0;1297033;1.13;0;1147817;1008563;1008563;139254;27850;111404;1278492;1139238;255698;227847;1022794;0;255698;0;0;1278492;1344"
"2;""P3"";1;""2024-10-10 15:55:43"";3;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1345"
"2;""La"";1;""2024-10-10 14:16:51"";4;4;3;""s"";""buying"";1037434;1.25;0;0.0;1297033;0;1037434;1037434;0;0;0;1278492;1278492;255698;255698;1022794;255698;0;0;0;1022794;1346"
"2;""gK"";1;""2024-10-10 14:55:17"";11;1;40;""b"";""selling"";1141403;0.0;1141403;1.0;0;1141403;0;0;1141403;228280;913123;1141403;0;228280;0;913123;0;228280;0;0;1141403;1347"
"1;""SH"";1;""2024-10-10 14:16:56"";4;3;11;""b"";""selling"";1194197;0.0;1385269;1.16;0;1194197;981193;981193;213004;42600;170404;1348870;1135866;269774;227173;1079096;269774;0;0;0;1079096;1348"
"2;""P3"";1;""2024-10-10 15:55:58"";3;1;30;""b"";""selling"";796333;0.0;796333;1.0;0;796333;0;0;796333;159266;637067;796333;0;159266;0;637067;159266;0;0;0;637067;1349"
"2;""gK"";1;""2024-10-10 14:55:19"";11;2;38;""s"";""buying"";1051181;1.09;0;0.0;1141403;0;1051181;1051181;0;0;0;1141403;1141403;228280;228280;913123;0;228280;0;0;1141403;1350"
"2;""P3"";1;""2024-10-10 15:58:54"";4;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1351"
"2;""ll"";1;""2024-10-10 14:18:16"";3;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1352"
"2;""4q"";1;""2024-10-10 14:55:20"";10;1;38;""b"";""selling"";937547;0.0;937547;1.0;0;937547;0;0;937547;187509;750038;937547;0;187509;0;750038;187509;0;0;0;750038;1353"
"2;""P3"";1;""2024-10-10 15:59:29"";4;1;23;""b"";""selling"";947768;0.0;947768;1.0;0;947768;0;0;947768;189553;758215;947768;0;189553;0;758215;189553;0;0;0;758215;1354"
"2;""ll"";1;""2024-10-10 14:18:23"";3;1;35;""b"";""selling"";788491;0.0;788491;1.0;0;788491;0;0;788491;157698;630793;788491;0;157698;0;630793;0;157698;0;0;788491;1355"
"2;""gK"";1;""2024-10-10 14:55:31"";11;3;26;""b"";""selling"";1079695;0.0;1176868;1.09;0;1079695;1051181;1051181;28514;5702;22812;1169917;1141403;233983;228280;935934;0;233983;0;0;1169917;1356"
"2;""ll"";1;""2024-10-10 14:18:43"";3;2;14;""s"";""buying"";782202;1.01;0;0.0;788491;0;782202;782202;0;0;0;788491;788491;157698;157698;630793;0;157698;0;0;788491;1357"
"2;""gK"";1;""2024-10-10 14:55:37"";11;4;20;""s"";""buying"";1046226;1.12;0;0.0;1176868;0;1046226;1046226;0;0;0;1169917;1169917;233983;233983;935934;0;233983;0;0;1169917;1358"
"2;""P3"";1;""2024-10-10 16:02:15"";5;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1359"
"1;""dO"";1;""2024-10-10 14:19:09"";3;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1360"
"2;""gK"";1;""2024-10-10 14:55:56"";11;5;2;""b"";""selling"";1129636;0.0;1265192;1.12;0;1129636;1046226;1046226;83410;16682;66728;1253327;1169917;250665;233983;1002662;250665;0;0;0;1002662;1361"
"2;""P3"";1;""2024-10-10 16:02:36"";5;1;28;""b"";""selling"";1018164;0.0;1018164;1.0;0;1018164;0;0;1018164;203632;814532;1018164;0;203632;0;814532;203632;0;0;0;814532;1362"
"1;""dO"";1;""2024-10-10 14:19:24"";3;1;26;""b"";""selling"";805254;0.0;805254;1.0;0;805254;0;0;805254;161050;644204;805254;0;161050;0;644204;0;161050;0;0;805254;1363"
"2;""La"";1;""2024-10-10 14:57:37"";12;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1364"
"2;""P3"";1;""2024-10-10 16:05:19"";6;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1365"
"2;""gK"";1;""2024-10-10 14:19:53"";3;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1366"
"2;""P3"";1;""2024-10-10 16:05:55"";6;1;29;""b"";""selling"";830929;0.0;830929;1.0;0;830929;0;0;830929;166185;664744;830929;0;166185;0;664744;166185;0;0;0;664744;1367"
"2;""La"";1;""2024-10-10 14:57:44"";12;1;35;""b"";""selling"";1556588;0.0;1556588;1.0;0;1556588;0;0;1556588;311317;1245271;1556588;0;311317;0;1245271;311317;0;0;0;1245271;1368"
"2;""gK"";1;""2024-10-10 14:20:09"";3;1;25;""b"";""selling"";867322;0.0;867322;1.0;0;867322;0;0;867322;173464;693858;867322;0;173464;0;693858;0;173464;0;0;867322;1369"
"1;""SH"";1;""2024-10-10 14:58:22"";12;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1370"
"2;""P3"";1;""2024-10-10 16:08:59"";7;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1371"
"1;""dO"";1;""2024-10-10 14:20:15"";3;2;15;""s"";""buying"";782423;1.03;0;0.0;805254;0;782423;782423;0;0;0;805254;805254;161050;161050;644204;0;161050;0;0;805254;1372"
"2;""La"";1;""2024-10-10 14:35:44"";8;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1373"
"2;""P3"";1;""2024-10-10 16:09:05"";7;1;37;""b"";""selling"";787907;0.0;787907;1.0;0;787907;0;0;787907;157581;630326;787907;0;157581;0;630326;0;157581;0;0;787907;1374"
"1;""SH"";1;""2024-10-10 14:58:47"";12;1;17;""b"";""selling"";1910746;0.0;1910746;1.0;0;1910746;0;0;1910746;382149;1528597;1910746;0;382149;0;1528597;0;382149;0;0;1910746;1375"
"2;""ll"";1;""2024-10-10 14:20:21"";3;3;3;""b"";""selling"";908176;0.0;917258;1.01;0;908176;782202;782202;125974;25194;100780;914465;788491;182893;157698;731572;182893;0;0;0;731572;1376"
"2;""4q"";1;""2024-10-10 14:35:50"";4;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1377"
"1;""SH"";1;""2024-10-10 14:58:49"";12;2;15;""s"";""buying"";1715062;1.11;0;0.0;1910746;0;1715062;1715062;0;0;0;1910746;1910746;382149;382149;1528597;0;382149;0;0;1910746;1378"
"2;""P3"";1;""2024-10-10 16:09:05"";7;1;36;""b"";""selling"";787907;0.0;787907;1.0;0;787907;0;0;787907;157581;630326;787907;0;157581;0;630326;157581;0;1;0;630326;1379"
"2;""gK"";1;""2024-10-10 14:20:33"";3;2;16;""s"";""buying"";770777;1.13;0;0.0;867322;0;770777;770777;0;0;0;867322;867322;173464;173464;693858;0;173464;0;0;867322;1380"
"2;""4q"";1;""2024-10-10 14:36:01"";4;1;30;""b"";""selling"";1053073;0.0;1053073;1.0;0;1053073;0;0;1053073;210614;842459;1053073;0;210614;0;842459;210;210404;0;0;1052863;1381"
"1;""SH"";1;""2024-10-10 14:58:53"";12;3;10;""b"";""selling"";1962584;0.0;2178468;1.11;0;1962584;1715062;1715062;247522;49504;198018;2158268;1910746;431653;382149;1726615;431653;0;0;0;1726615;1382"
"2;""P3"";1;""2024-10-10 16:11:45"";8;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1383"
"1;""dO"";1;""2024-10-10 14:20:39"";3;3;0;""b"";""selling"";1014456;0.0;1044890;1.03;0;1014456;782423;782423;232033;46406;185627;1037287;805254;207457;161050;829830;161050;46407;0;0;876237;1384"
"2;""La"";1;""2024-10-10 14:36:11"";8;1;14;""b"";""selling"";660678;0.0;660678;1.0;0;660678;0;0;660678;132135;528543;660678;0;132135;0;528543;0;132135;0;0;660678;1385"
"2;""ll"";1;""2024-10-10 14:59:04"";12;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1386"
"2;""gK"";1;""2024-10-10 14:20:52"";3;3;2;""b"";""selling"";908176;0.0;1026239;1.13;0;908176;770777;770777;137399;27479;109920;1004721;867322;200944;173464;803777;200944;0;1;0;803777;1387"
"2;""P3"";1;""2024-10-10 16:11:52"";8;1;36;""b"";""selling"";790973;0.0;790973;1.0;0;790973;0;0;790973;158194;632779;790973;0;158194;0;632779;158194;0;0;0;632779;1388"
"2;""La"";1;""2024-10-10 14:36:21"";8;2;4;""s"";""buying"";685908;0.96;0;0.0;660678;0;685908;685908;0;0;0;660678;660678;132135;132135;528543;132135;0;0;0;528543;1389"
"2;""gK"";1;""2024-10-10 14:21:07"";4;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1390"
"2;""ll"";1;""2024-10-10 14:59:34"";12;1;11;""b"";""selling"";1962584;0.0;1962584;1.0;0;1962584;0;0;1962584;392516;1570068;1962584;0;392516;0;1570068;392516;0;0;0;1570068;1391"
"1;""SH"";1;""2024-10-10 14:36:32"";8;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1392"
"2;""P3"";1;""2024-10-10 16:15:42"";9;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1393"
"2;""gK"";1;""2024-10-10 14:21:10"";4;1;38;""b"";""selling"";1181599;0.0;1181599;1.0;0;1181599;0;0;1181599;236319;945280;1181599;0;236319;0;945280;0;236319;0;0;1181599;1394"
"1;""dO"";1;""2024-10-10 14:59:48"";12;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1395"
"2;""P3"";1;""2024-10-10 16:17:12"";9;1;8;""b"";""selling"";965672;0.0;965672;1.0;0;965672;0;0;965672;193134;772538;965672;0;193134;0;772538;193134;0;0;0;772538;1396"
