"gr;""id"";""lang"";""ts"";""round"";""trx"";""sec"";""pos"";""activity"";""price"";""crypto"";""fiat"";""crypto_prev"";""fiat_prev"";""sell"";""buy"";""buy_prev"";""t_gain"";""t_tax"";""t_gain_net"";""r_gain"";""r_gain_prev"";""r_tax"";""r_tax_prev"";""r_gain_net"";""tax_disclos"";""tax_discre"";""audit"";""penalty"";""r_gain_final"";""num"""
"1;""sD"";1;""2024-10-08 02:18:03"";3;1;38;""b"";""selling"";781492;0.0;781492;1.0;0;781492;0;0;781492;156298;625194;781492;0;156298;0;625194;0;156298;0;0;781492;31"
"2;""Dg"";1;""2024-10-08 04:09:15"";8;1;14;""b"";""selling"";660678;0.0;660678;1.0;0;660678;0;0;660678;132135;528543;660678;0;132135;0;528543;132135;0;1;0;528543;32"
"1;""DT"";1;""2024-10-08 01:47:36"";4;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33"
"1;""DT"";1;""2024-10-08 01:52:03"";8;3;13;""b"";""selling"";679362;0.0;706536;1.04;0;679362;501448;501448;177914;35582;142332;697951;520037;139590;104007;558361;0;139590;0;0;697951;34"
"1;""sD"";1;""2024-10-08 02:18:03"";3;2;38;""s"";""buying"";781492;1.0;0;0.0;781492;0;781492;781492;0;0;0;781492;781492;156298;156298;625194;0;156298;0;0;781492;35"
"2;""Dg"";1;""2024-10-08 04:10:12"";9;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36"
"2;""oI"";1;""2024-10-08 01:47:37"";1;1;2;""b"";""selling"";391571;0.0;391571;1.0;0;391571;0;0;391571;78314;313257;391571;0;78314;0;313257;78314;0;0;0;313257;37"
"1;""DT"";1;""2024-10-08 01:52:06"";8;4;10;""s"";""buying"";679113;1.04;0;0.0;706536;0;679113;679113;0;0;0;697951;697951;139590;139590;558361;139591;-1;0;0;558360;38"
"1;""sD"";1;""2024-10-08 02:18:05"";3;3;37;""b"";""selling"";799442;0.0;799442;1.0;0;799442;781492;781492;17950;3590;14360;799442;781492;159888;156298;639554;0;159888;0;0;799442;39"
"2;""Dg"";1;""2024-10-08 04:10:17"";9;1;37;""b"";""selling"";984267;0.0;984267;1.0;0;984267;0;0;984267;196853;787414;984267;0;196853;0;787414;196853;0;0;0;787414;40"
"2;""oI"";1;""2024-10-08 01:47:53"";2;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41"
"2;""oI"";1;""2024-10-08 01:52:29"";7;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42"
"1;""sD"";1;""2024-10-08 02:18:05"";3;4;36;""s"";""buying"";820517;0.97;0;0.0;799442;0;820517;820517;0;0;0;799442;799442;159888;159888;639554;0;159888;0;0;799442;43"
"1;""DT"";1;""2024-10-08 01:52:34"";9;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44"
"2;""Dg"";1;""2024-10-08 04:11:38"";10;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45"
"2;""oI"";1;""2024-10-08 01:48:00"";2;1;35;""b"";""selling"";402523;0.0;402523;1.0;0;402523;0;0;402523;80504;322019;402523;0;80504;0;322019;0;80504;0;0;402523;46"
"1;""DT"";1;""2024-10-08 01:52:38"";9;1;38;""b"";""selling"";995152;0.0;995152;1.0;0;995152;0;0;995152;199030;796122;995152;0;199030;0;796122;0;199030;0;0;995152;47"
"2;""Dg"";1;""2024-10-08 04:11:45"";10;1;34;""b"";""selling"";927881;0.0;927881;1.0;0;927881;0;0;927881;185576;742305;927881;0;185576;0;742305;185576;0;1;0;742305;48"
"2;""oI"";1;""2024-10-08 01:48:08"";2;2;26;""s"";""buying"";398508;1.01;0;0.0;402523;0;398508;398508;0;0;0;402523;402523;80504;80504;322019;0;80504;0;0;402523;49"
"2;""oI"";1;""2024-10-08 01:52:39"";7;1;32;""b"";""selling"";882776;0.0;882776;1.0;0;882776;0;0;882776;176555;706221;882776;0;176555;0;706221;0;176555;0;0;882776;50"
"2;""oI"";1;""2024-10-08 01:48:14"";2;3;20;""b"";""selling"";415818;0.0;419976;1.01;0;415818;398508;398508;17310;3462;13848;419833;402523;83966;80504;335867;0;83966;0;0;419833;51"
"2;""Dg"";1;""2024-10-08 04:13:13"";11;0;0;""s"";""buying"";0;1.0;0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52"
"1;""DT"";1;""2024-10-08 01:52:41"";9;2;35;""s"";""buying"";875643;1.14;0;0.0;995152;0;875643;875643;0;0;0;995152;995152;199030;199030;796122;0;199030;0;0;995152;53"
"1;""DT"";1;""2024-10-08 01:48:17"";4;1;1;""b"";""selling"";1034581;0.0;1034581;1.0;0;1034581;0;0;1034581;206916;827665;1034581;0;206916;0;827665;206917;-1;0;0;827664;54"
